study_descr,datenschutz
12.8870000004768,8.88100000023842
5.07,3.37
4.75,4.36
3.3,3.93
5.84,4.82
7.96,62.23
4.6,6.26
3.95700000047684,5.195
4.17,4.86
7.69,6.27
4.13,3.92
7.81800000190735,5.335
7.3,3.99
5.33,7.1
3.65,4.41
4.7739999999851,4.8110000000149
5.13,5.69
6.55,10.9
9.79399999976158,6.57100000023842
11.37,10.2
7.52,5.4
7.02400000095367,7.28
6.79,5.91
9.35,8.59
4.4,4.35
13.53,10.34
7.18,6.12
4.09,4
4.41,5.01
3.55,5.05
4.63,5.71
10.815,5.7970000000298
3.79,4.76
4.05,4.43
5.56,6.58
11.46,9.82
4.76,4.43
6.72,4.39
6.3359999999404,5.11400000005961
4.95,5.17
4.75100000023842,4.52700000047684
7.63699999809265,7.34
7.8,7.58
4.67,4.59
3.54,4.53
5.01,4.46
4.96899999976158,3.20399999976158
12.39,10.39
3.81,3.99
5.11,4.4
10.2769999999553,7.285
14.28,14
9.66,6.25
5.57,5.02
3.54300000011921,3.225
3.43,4.49
4.61400000005961,3.33
4.67,4.6
14.12,93.79
4.47,3.4
4.2279999999702,3.5979999999702
5.93,5.05
13.445,6.16899999999907
5.6,7.16
8.41,8.13
5.67,6.64
5.61299999999814,4.75700000000186
10.59,8.31
6.64,5.83
4.3,4.42
3.93,1.84
5.69,5.76
3.59,4.9
4.78,4.62
3.73,4.17
3.53200000047684,3.26700000047684
4.63,4.4
5.09,4.06
3.82600000023842,3.94600000023842
5.7,4.43
4.41,14.9
9.05599999940023,10.5049999989569
9.8789999999851,9.8730000000447
5.52,4.34
7.14,7.69
4.09200000047684,3.07100000023842
9.99,10.26
7.3889999961853,4.38799999713898
4.85,4.08
5.24,5.63
6.08,6.17
4.24,6.72
5.49700000047684,4.25699999809265
6.65,8.48
3.92,4.38
5.06,1.91
8.21799999713898,5.59599999904633
7.53199999809265,5.99299999952316
3.77,3.47
11.12,9.59
4.89700000017881,6.68300000011921
16.2409999990463,13.9909999990463
5.07,5.27
